deck_id;deck_name;deck_format;hero_reference;hero_name;card_reference;card_name;quantity
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_07_R1;"Monolith Rune-Scribe";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_07_C;"Monolith Rune-Scribe";2
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_09_C;"The Frog Prince";3
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_13_C;"Ordis Gatekeeper";3
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_14_C;"Ordis Spy";2
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_14_R1;"Ordis Spy";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_15_R1;"Kakoba, Legion Commander";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_15_C;"Kakoba, Legion Commander";2
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_17_C;"Jeanne d'Arc";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_23_C;Charge!;3
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_25_C;"Sticky Note Seals";3
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_COREKS_B_AX_18_U_3175;Athena;1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_28_C;"The Monolith, Ordis Bastion";3
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_30_C;"Ordis Carrier";3
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_26_R1;"Open the Gates";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_OR_17_R1;"Jeanne d'Arc";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_COREKS_B_AX_07_U_5745;"Foundry Mechanic";1
01921b19-c50c-1f3c-e386-ee658890f0e2;"Ordis default deck";STANDARD;ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";ALT_CORE_B_BR_04_R2;Ratatoskr;1
