"2026-05-19 21:17:49";;;
card_reference;card_name;rarity;quantity
ALT_ALIZE_B_MU_44_R1;"Tente Florale";Rare;1
ALT_ALIZE_B_MU_44_R2;"Tente Florale";Rare;1
ALT_ALIZE_B_MU_45_C;"Taïga Saisie par les Glaces";Commun;3
ALT_ALIZE_B_MU_45_R1;"Taïga Saisie par les Glaces";Rare;1
ALT_ALIZE_B_NE_FOILER_C;Foiler;Commun;12
ALT_ALIZE_B_NE_FOILER_R;Foiler;Rare;6
ALT_ALIZE_B_OR_03_C;"Gulrang & Tocsin";Commun;1
ALT_ALIZE_B_OR_33_C;Limier;Commun;2
ALT_ALIZE_B_OR_33_R1;Limier;Rare;2
ALT_ALIZE_B_OR_34_C;"Superviseuse Ordis";Commun;4
ALT_ALIZE_B_OR_34_R1;"Superviseuse Ordis";Rare;1
ALT_ALIZE_B_OR_35_C;"Dong Da Shen";Commun;2
ALT_ALIZE_B_OR_36_C;"Veilleur Ordis";Commun;3
ALT_ALIZE_B_OR_37_C;"Ebenezer Scrooge";Commun;3
ALT_ALIZE_B_OR_38_C;"Sunisa, Enseigne Dévouée";Commun;1
ALT_ALIZE_B_OR_39_C;Valémon;Commun;3
ALT_ALIZE_B_OR_39_R1;Valémon;Rare;1
ALT_ALIZE_B_OR_40_C;Hypothermie;Commun;4
ALT_ALIZE_B_OR_41_C;"Opératrice Ordis";Commun;4
ALT_ALIZE_B_OR_42_C;"Case Prison";Commun;2
ALT_ALIZE_B_OR_42_R1;"Case Prison";Rare;1
ALT_ALIZE_B_OR_42_R2;"Case Prison";Rare;1
ALT_ALIZE_B_OR_43_C;Renforts;Commun;3
ALT_ALIZE_B_OR_43_R1;Renforts;Rare;1
ALT_ALIZE_B_OR_44_C;"Cri de Ralliement";Commun;3
ALT_ALIZE_B_OR_45_C;"Armurerie Mobile";Commun;3
ALT_ALIZE_B_OR_46_C;Benzaiten;Commun;4
ALT_ALIZE_B_OR_46_R1;Benzaiten;Rare;1
ALT_ALIZE_B_OR_46_U_11422;Benzaiten;Unique;1
ALT_ALIZE_B_OR_47_C;"Lac Saisi par les Glaces";Commun;4
ALT_ALIZE_B_OR_47_R1;"Lac Saisi par les Glaces";Rare;2
ALT_ALIZE_B_YZ_01_C;"Akesha & Taru";Commun;1
ALT_ALIZE_B_YZ_03_C;"Afanas & Senka";Commun;1
ALT_ALIZE_B_YZ_32_C;"Larve de Phalène";Commun;4
ALT_ALIZE_B_YZ_32_R2;"Larve de Phalène";Rare;1
ALT_ALIZE_B_YZ_33_C;Chrysalide;Commun;3
ALT_ALIZE_B_YZ_34_C;Pamola;Commun;4
ALT_ALIZE_B_YZ_35_C;Belasenka;Commun;4
ALT_ALIZE_B_YZ_36_C;"Aroro, Rempart d'Asgartha";Commun;4
ALT_ALIZE_B_YZ_36_R1;"Aroro, Rempart d'Asgartha";Rare;1
ALT_ALIZE_B_YZ_36_R2;"Aroro, Rempart d'Asgartha";Rare;1
ALT_ALIZE_B_YZ_37_C;"Nova Hivernale";Commun;4
ALT_ALIZE_B_YZ_38_C;"La Reine des Neiges";Commun;4
ALT_ALIZE_B_YZ_38_R2;"La Reine des Neiges";Rare;1
ALT_ALIZE_B_YZ_39_C;Givre;Commun;4
ALT_ALIZE_B_YZ_39_R2;Givre;Rare;1
ALT_ALIZE_B_YZ_40_C;Gel;Commun;4
ALT_ALIZE_B_YZ_41_C;"Invocation de Phalène";Commun;4
ALT_ALIZE_B_YZ_41_R2;"Invocation de Phalène";Rare;1
ALT_ALIZE_B_YZ_42_C;Blizzard;Commun;4
ALT_ALIZE_B_YZ_43_C;"Nuée de Phalènes";Commun;4
ALT_ALIZE_B_YZ_44_C;"Lanterne aux Phalènes";Commun;2
ALT_ALIZE_B_YZ_44_R1;"Lanterne aux Phalènes";Rare;1
ALT_ALIZE_B_YZ_45_C;"Le Nilam, Arbre-Monde Flétri";Commun;4
ALT_ALIZE_B_YZ_45_R2;"Le Nilam, Arbre-Monde Flétri";Rare;1
ALT_ALIZE_B_YZ_46_C;"Col Saisi par les Glaces";Commun;4
ALT_ALIZE_B_YZ_46_R1;"Col Saisi par les Glaces";Rare;1
ALT_BISE_B_NE_FOILER_C;Foiler;Commun;8
ALT_BISE_B_NE_FOILER_R;Foiler;Rare;4
ALT_CORE_A_AX_22_C;"Entraînement Mécanique";Commun;3
ALT_CORE_A_AX_22_R1;"Entraînement Mécanique";Rare;3
ALT_CORE_A_AX_22_R2;"Entraînement Mécanique";Rare;3
ALT_CORE_A_BR_31_C;Booda;Commun;1
ALT_CORE_A_YZ_31_C;Maw;Commun;1
ALT_CORE_B_AX_07_R2;"Mécanicienne de la Fonderie";Rare;1
ALT_CORE_B_AX_09_U_2751;"Fée Clochette";Unique;1
ALT_CORE_B_AX_11_U_2249;"Amelia Earhart";Unique;1
ALT_CORE_B_AX_16_U_2240;"Armurière de la Fonderie";Unique;1
ALT_CORE_B_AX_18_U_2601;Athéna;Unique;1
ALT_CORE_B_BR_04_R2;Ratatosk;Rare;1
ALT_CORE_B_BR_14_U_4110;"Avant-Garde Bravos";Unique;1
ALT_CORE_B_LY_18_U_5963;"Le Chapelier";Unique;1
ALT_CORE_B_NE_FOILER_C;Foiler;Commun;11
ALT_CORE_B_NE_FOILER_R;Foiler;Rare;11
ALT_CORE_B_NE_FOILER_U;Foiler;Unique;8
ALT_CORE_B_OR_01_C;"Sigismar & Wingspan";Commun;1
ALT_CORE_B_OR_05_C;"Troupière Ordis";Commun;2
ALT_CORE_B_OR_05_R1;"Troupière Ordis";Rare;1
ALT_CORE_B_OR_06_C;"Cadets Ordis";Commun;3
ALT_CORE_B_OR_07_C;"Scribe Runique du Monolithe";Commun;2
ALT_CORE_B_OR_07_R1;"Scribe Runique du Monolithe";Rare;1
ALT_CORE_B_OR_09_C;"Le Roi-Grenouille";Commun;3
ALT_CORE_B_OR_13_C;"Gardienne Ordis";Commun;3
ALT_CORE_B_OR_14_C;"Espionne Ordis";Commun;2
ALT_CORE_B_OR_14_R1;"Espionne Ordis";Rare;1
ALT_CORE_B_OR_15_C;"Kakoba, Commandant de Légion";Commun;2
ALT_CORE_B_OR_15_R1;"Kakoba, Commandant de Légion";Rare;1
ALT_CORE_B_OR_17_C;"Jeanne d'Arc";Commun;2
ALT_CORE_B_OR_17_R1;"Jeanne d'Arc";Rare;1
ALT_CORE_B_OR_19_U_5207;Issitoq;Unique;1
ALT_CORE_B_OR_21_U_5037;"Robin des Bois";Unique;1
ALT_CORE_B_OR_23_C;Chargez !;Commun;3
ALT_CORE_B_OR_25_C;"Sceaux Adhésifs";Commun;3
ALT_CORE_B_OR_26_R1;"Ouvrez les Portes";Rare;1
ALT_CORE_B_OR_28_C;"Le Monolithe, Bastion Ordis";Commun;3
ALT_CORE_B_OR_29_R1;"Grand Projet";Rare;1
ALT_CORE_B_OR_30_C;"Transporteur Ordis";Commun;3
ALT_CORE_B_YZ_09_U_635;"Dame du Lac";Unique;1
ALT_CORE_B_YZ_13_R1;Alice;Rare;1
ALT_CORE_B_YZ_17_U_4354;"Le Kraken";Unique;1
ALT_CORE_P_OR_02_C;"Waru & Mack";Commun;1
ALT_CORE_P_YZ_02_C;"Lindiwe & Maw";Commun;1
ALT_CORE_P_YZ_03_C;"Afanas & Senka";Commun;1
ALT_COREKS_B_AX_01_C;"Sierra & Oddball";Commun;4
ALT_COREKS_B_AX_02_C;"Treyst & Rossum";Commun;2
ALT_COREKS_B_AX_03_C;"Subhash & Marmo";Commun;1
ALT_COREKS_B_AX_04_C;"Élémentaire de Kélon";Commun;2
ALT_COREKS_B_AX_04_R1;"Élémentaire de Kélon";Rare;1
ALT_COREKS_B_AX_04_R2;"Élémentaire de Kélon";Rare;1
ALT_COREKS_B_AX_05_C;"Ingénieure de la Fonderie";Commun;2
ALT_COREKS_B_AX_05_R1;"Ingénieure de la Fonderie";Rare;1
ALT_COREKS_B_AX_05_R2;"Ingénieure de la Fonderie";Rare;1
ALT_COREKS_B_AX_06_C;Ogun;Commun;3
ALT_COREKS_B_AX_06_R1;Ogun;Rare;1
ALT_COREKS_B_AX_06_R2;Ogun;Rare;1
ALT_COREKS_B_AX_07_C;"Mécanicienne de la Fonderie";Commun;2
ALT_COREKS_B_AX_07_R1;"Mécanicienne de la Fonderie";Rare;1
ALT_COREKS_B_AX_07_U_5745;"Mécanicienne de la Fonderie";Unique;1
ALT_COREKS_B_AX_08_C;"Récupérateur Axiom";Commun;2
ALT_COREKS_B_AX_08_R1;"Récupérateur Axiom";Rare;1
ALT_COREKS_B_AX_08_R2;"Récupérateur Axiom";Rare;1
ALT_COREKS_B_AX_09_C;"Fée Clochette";Commun;2
ALT_COREKS_B_AX_09_R1;"Fée Clochette";Rare;1
ALT_COREKS_B_AX_09_R2;"Fée Clochette";Rare;1
ALT_COREKS_B_AX_10_C;"Jian, Superviseur d'Assemblage";Commun;1
ALT_COREKS_B_AX_10_R1;"Jian, Superviseur d'Assemblage";Rare;1
ALT_COREKS_B_AX_10_R2;"Jian, Superviseur d'Assemblage";Rare;1
ALT_COREKS_B_AX_11_C;"Amelia Earhart";Commun;2
ALT_COREKS_B_AX_11_R1;"Amelia Earhart";Rare;1
ALT_COREKS_B_AX_11_R2;"Amelia Earhart";Rare;1
ALT_COREKS_B_AX_12_C;"Trois Petits Cochons";Commun;2
ALT_COREKS_B_AX_12_R1;"Trois Petits Cochons";Rare;1
ALT_COREKS_B_AX_12_R2;"Trois Petits Cochons";Rare;1
ALT_COREKS_B_AX_13_C;"Ada Lovelace";Commun;2
ALT_COREKS_B_AX_13_R1;"Ada Lovelace";Rare;1
ALT_COREKS_B_AX_14_C;Coppélia;Commun;3
ALT_COREKS_B_AX_14_R1;Coppélia;Rare;1
ALT_COREKS_B_AX_14_R2;Coppélia;Rare;1
ALT_COREKS_B_AX_14_U_1730;Coppélia;Unique;1
ALT_COREKS_B_AX_15_C;"Brouilleur Axiom";Commun;3
ALT_COREKS_B_AX_15_R1;"Brouilleur Axiom";Rare;1
ALT_COREKS_B_AX_15_R2;"Brouilleur Axiom";Rare;1
ALT_COREKS_B_AX_15_U_100;"Brouilleur Axiom";Unique;1
ALT_COREKS_B_AX_16_C;"Armurière de la Fonderie";Commun;2
ALT_COREKS_B_AX_16_R2;"Armurière de la Fonderie";Rare;1
ALT_COREKS_B_AX_17_C;"Dr Frankenstein";Commun;2
ALT_COREKS_B_AX_17_R1;"Dr Frankenstein";Rare;1
ALT_COREKS_B_AX_17_R2;"Dr Frankenstein";Rare;1
ALT_COREKS_B_AX_17_U_3486;"Dr Frankenstein";Unique;1
ALT_COREKS_B_AX_18_C;Athéna;Commun;2
ALT_COREKS_B_AX_18_R1;Athéna;Rare;1
ALT_COREKS_B_AX_18_U_3175;Athéna;Unique;1
ALT_COREKS_B_AX_19_C;Ganesh;Commun;2
ALT_COREKS_B_AX_19_R1;Ganesh;Rare;1
ALT_COREKS_B_AX_19_R2;Ganesh;Rare;1
ALT_COREKS_B_AX_20_C;Happé;Commun;1
ALT_COREKS_B_AX_20_R1;Happé;Rare;1
ALT_COREKS_B_AX_20_R2;Happé;Rare;1
ALT_COREKS_B_AX_21_C;Boum !;Commun;3
ALT_COREKS_B_AX_21_R1;Boum !;Rare;1
ALT_COREKS_B_AX_21_R2;Boum !;Rare;1
ALT_COREKS_B_AX_22_C;"Entraînement Mécanique";Commun;2
ALT_COREKS_B_AX_22_R1;"Entraînement Mécanique";Rare;1
ALT_COREKS_B_AX_22_R2;"Entraînement Mécanique";Rare;1
ALT_COREKS_B_AX_23_C;"Décharge de Kélon";Commun;3
ALT_COREKS_B_AX_23_R1;"Décharge de Kélon";Rare;1
ALT_COREKS_B_AX_23_R2;"Décharge de Kélon";Rare;1
ALT_COREKS_B_AX_24_C;"Hub des Scarabots";Commun;2
ALT_COREKS_B_AX_24_R1;"Hub des Scarabots";Rare;1
ALT_COREKS_B_AX_24_R2;"Hub des Scarabots";Rare;1
ALT_COREKS_B_AX_25_C;"Recycleur Axiom";Commun;2
ALT_COREKS_B_AX_25_R1;"Recycleur Axiom";Rare;1
ALT_COREKS_B_AX_25_R2;"Recycleur Axiom";Rare;1
ALT_COREKS_B_AX_26_C;"Cylindre de Kélon";Commun;3
ALT_COREKS_B_AX_26_R2;"Cylindre de Kélon";Rare;1
ALT_COREKS_B_AX_27_C;"Générateur Kélonique";Commun;3
ALT_COREKS_B_AX_27_R1;"Générateur Kélonique";Rare;1
ALT_COREKS_B_AX_27_R2;"Générateur Kélonique";Rare;1
ALT_COREKS_B_AX_28_C;"Brouilleur Blindé";Commun;2
ALT_COREKS_B_AX_28_R1;"Brouilleur Blindé";Rare;1
ALT_COREKS_B_AX_28_R2;"Brouilleur Blindé";Rare;1
ALT_COREKS_B_AX_29_C;"La Fonderie, Bastion Axiom";Commun;2
ALT_COREKS_B_AX_29_R1;"La Fonderie, Bastion Axiom";Rare;1
ALT_COREKS_B_AX_29_R2;"La Fonderie, Bastion Axiom";Rare;1
ALT_COREKS_B_AX_30_C;"Ruche des Scarabots";Commun;3
ALT_COREKS_B_AX_30_R1;"Ruche des Scarabots";Rare;1
ALT_COREKS_B_AX_30_R2;"Ruche des Scarabots";Rare;1
ALT_COREKS_B_BR_01_C;"Kojo & Booda";Commun;2
ALT_COREKS_B_BR_02_C;"Atsadi & Surge";Commun;3
ALT_COREKS_B_BR_03_C;"Basira & Kaizaimon";Commun;2
ALT_COREKS_B_BR_04_C;Ratatosk;Commun;2
ALT_COREKS_B_BR_04_R1;Ratatosk;Rare;1
ALT_COREKS_B_BR_04_R2;Ratatosk;Rare;1
ALT_COREKS_B_BR_05_C;Issun-bōshi;Commun;3
ALT_COREKS_B_BR_05_R1;Issun-bōshi;Rare;1
ALT_COREKS_B_BR_05_R2;Issun-bōshi;Rare;1
ALT_COREKS_B_BR_06_C;"Petit Djinn";Commun;2
ALT_COREKS_B_BR_06_R1;"Petit Djinn";Rare;1
ALT_COREKS_B_BR_06_R2;"Petit Djinn";Rare;1
ALT_COREKS_B_BR_06_U_1570;"Petit Djinn";Unique;1
ALT_COREKS_B_BR_07_C;"Traceuse Bravos";Commun;3
ALT_COREKS_B_BR_07_R1;"Traceuse Bravos";Rare;1
ALT_COREKS_B_BR_07_R2;"Traceuse Bravos";Rare;1
ALT_COREKS_B_BR_08_C;"Pionnière Bravos";Commun;2
ALT_COREKS_B_BR_08_R1;"Pionnière Bravos";Rare;1
ALT_COREKS_B_BR_08_R2;"Pionnière Bravos";Rare;1
ALT_COREKS_B_BR_08_U_2067;"Pionnière Bravos";Unique;1
ALT_COREKS_B_BR_09_C;"Aspirant de Havre";Commun;2
ALT_COREKS_B_BR_09_R2;"Aspirant de Havre";Rare;1
ALT_COREKS_B_BR_10_C;Red;Commun;3
ALT_COREKS_B_BR_10_R2;Red;Rare;1
ALT_COREKS_B_BR_10_U_3087;Red;Unique;1
ALT_COREKS_B_BR_11_C;Chiron;Commun;1
ALT_COREKS_B_BR_11_R1;Chiron;Rare;2
ALT_COREKS_B_BR_11_R2;Chiron;Rare;1
ALT_COREKS_B_BR_12_C;"Hua Mulan";Commun;2
ALT_COREKS_B_BR_12_R2;"Hua Mulan";Rare;1
ALT_COREKS_B_BR_13_C;Kappa;Commun;1
ALT_COREKS_B_BR_13_R1;Kappa;Rare;2
ALT_COREKS_B_BR_13_R2;Kappa;Rare;1
ALT_COREKS_B_BR_14_C;"Avant-Garde Bravos";Commun;2
ALT_COREKS_B_BR_14_R1;"Avant-Garde Bravos";Rare;1
ALT_COREKS_B_BR_15_C;"Videuse Bravos";Commun;4
ALT_COREKS_B_BR_15_R2;"Videuse Bravos";Rare;2
ALT_COREKS_B_BR_16_C;"Danseuse de Lames Bravos";Commun;3
ALT_COREKS_B_BR_16_R1;"Danseuse de Lames Bravos";Rare;2
ALT_COREKS_B_BR_16_R2;"Danseuse de Lames Bravos";Rare;1
ALT_COREKS_B_BR_17_C;"Guerrière de Havre";Commun;2
ALT_COREKS_B_BR_17_R1;"Guerrière de Havre";Rare;1
ALT_COREKS_B_BR_18_C;"Sun Wukong";Commun;2
ALT_COREKS_B_BR_18_R1;"Sun Wukong";Rare;1
ALT_COREKS_B_BR_18_R2;"Sun Wukong";Rare;1
ALT_COREKS_B_BR_19_C;"Puissant Djinn";Commun;2
ALT_COREKS_B_BR_19_R1;"Puissant Djinn";Rare;2
ALT_COREKS_B_BR_19_R2;"Puissant Djinn";Rare;1
ALT_COREKS_B_BR_20_C;Atlas;Commun;2
ALT_COREKS_B_BR_20_R1;Atlas;Rare;1
ALT_COREKS_B_BR_20_R2;Atlas;Rare;1
ALT_COREKS_B_BR_21_C;Achille;Commun;2
ALT_COREKS_B_BR_21_R1;Achille;Rare;1
ALT_COREKS_B_BR_21_R2;Achille;Rare;1
ALT_COREKS_B_BR_22_C;Shenlong;Commun;2
ALT_COREKS_B_BR_22_R1;Shenlong;Rare;1
ALT_COREKS_B_BR_22_R2;Shenlong;Rare;1
ALT_COREKS_B_BR_23_C;"Tomoe Gozen";Commun;2
ALT_COREKS_B_BR_23_R2;"Tomoe Gozen";Rare;1
ALT_COREKS_B_BR_24_C;"Kaibara, Léviathan Asgarthi";Commun;2
ALT_COREKS_B_BR_24_R1;"Kaibara, Léviathan Asgarthi";Rare;1
ALT_COREKS_B_BR_24_R2;"Kaibara, Léviathan Asgarthi";Rare;1
ALT_COREKS_B_BR_24_U_242;"Kaibara, Léviathan Asgarthi";Unique;1
ALT_COREKS_B_BR_25_C;"Main Tendue";Commun;2
ALT_COREKS_B_BR_26_C;"Entraînement Physique";Commun;2
ALT_COREKS_B_BR_26_R1;"Entraînement Physique";Rare;1
ALT_COREKS_B_BR_26_R2;"Entraînement Physique";Rare;1
ALT_COREKS_B_BR_27_C;"Canalisation de Mana";Commun;3
ALT_COREKS_B_BR_27_R2;"Canalisation de Mana";Rare;1
ALT_COREKS_B_BR_28_C;Intimidation;Commun;2
ALT_COREKS_B_BR_28_R1;Intimidation;Rare;1
ALT_COREKS_B_BR_28_R2;Intimidation;Rare;1
ALT_COREKS_B_BR_29_C;"Éruption de Mana";Commun;2
ALT_COREKS_B_BR_29_R1;"Éruption de Mana";Rare;1
ALT_COREKS_B_BR_30_C;"Havre, Bastion Bravos";Commun;2
ALT_COREKS_B_BR_30_R1;"Havre, Bastion Bravos";Rare;1
ALT_COREKS_B_BR_30_R2;"Havre, Bastion Bravos";Rare;1
ALT_COREKS_B_LY_01_C;"Nevenka & Blotch";Commun;2
ALT_COREKS_B_LY_02_C;"Auraq & Kibble";Commun;4
ALT_COREKS_B_LY_03_C;"Fen & Crowbar";Commun;3
ALT_COREKS_B_LY_04_C;Martengale;Commun;2
ALT_COREKS_B_LY_04_R1;Martengale;Rare;1
ALT_COREKS_B_LY_04_R2;Martengale;Rare;1
ALT_COREKS_B_LY_05_C;"Comédien Lyra";Commun;3
ALT_COREKS_B_LY_05_R1;"Comédien Lyra";Rare;1
ALT_COREKS_B_LY_05_R2;"Comédien Lyra";Rare;1
ALT_COREKS_B_LY_06_C;"Prestidigitatrice de l'Ouroboros";Commun;2
ALT_COREKS_B_LY_06_R1;"Prestidigitatrice de l'Ouroboros";Rare;1
ALT_COREKS_B_LY_06_R2;"Prestidigitatrice de l'Ouroboros";Rare;1
ALT_COREKS_B_LY_06_U_2928;"Prestidigitatrice de l'Ouroboros";Unique;1
ALT_COREKS_B_LY_07_C;Hathor;Commun;2
ALT_COREKS_B_LY_07_R1;Hathor;Rare;1
ALT_COREKS_B_LY_07_R2;Hathor;Rare;1
ALT_COREKS_B_LY_08_C;"Skald Lyra";Commun;2
ALT_COREKS_B_LY_08_R1;"Skald Lyra";Rare;1
ALT_COREKS_B_LY_08_R2;"Skald Lyra";Rare;1
ALT_COREKS_B_LY_09_C;Tanuki;Commun;2
ALT_COREKS_B_LY_09_R1;Tanuki;Rare;1
ALT_COREKS_B_LY_09_R2;Tanuki;Rare;1
ALT_COREKS_B_LY_10_C;"Encrière de l'Ouroboros";Commun;3
ALT_COREKS_B_LY_10_R1;"Encrière de l'Ouroboros";Rare;1
ALT_COREKS_B_LY_11_C;Esmeralda;Commun;2
ALT_COREKS_B_LY_11_R1;Esmeralda;Rare;1
ALT_COREKS_B_LY_11_R2;Esmeralda;Rare;1
